2052,NSW,QUEANBEYAN,CALTEX,BUNGENDORE RD,2620,02 62993910,0,1,0,1,1,0,0,1,1,,1,,0,1,1,No,TRUE,0,1,149.243457,-35.349242
2053,VIC,WANTIRNA SOUTH,CALTEX,1321 HIGH STREET,3152,03 98875233,0,1,0,1,1,1,0,0,1,,0,Yes,0,1,1,No,FALSE,0,1,145.222247,-37.876578
2054,NSW,MARSDEN PARK,CALTEX,CNR GARFIELD & RICHMOND RDS,2765,02 96273134,0,1,0,1,1,1,0,0,1,Yes,0,,1,1,1,No,FALSE,0,1,150.832136,-33.697807
2055,VIC,ST ALBANS,CALTEX,151-167 KINGS ROAD,3021,03 93646785,0,1,0,1,1,0,0,1,1,,1,,0,1,1,No,FALSE,0,1,144.781751,-37.726739
2056,QLD,APPLE TREE CREEK,CALTEX,29444 BRUCE HWY,4660,07 41261605,0,1,0,1,1,1,0,0,1,,1,,0,1,1,Yes,TRUE,0,0,152.161131,-25.223839
2057,QLD,RUNAWAY BAY,CALTEX,205 BAYVIEW ST,4216,07 55290988,0,1,0,1,0,0,0,1,1,Yes,0,,0,0,1,No,TRUE,0,1,153.401679,-27.904252
2058,NSW,CABRAMATTA,CALTEX,166 JOHN ST CNR GLADSTONE ST,2166,02 97270081,1,1,0,1,0,0,0,1,1,,0,,0,0,0,No,FALSE,0,1,150.927941,-33.894148
2059,WA,WALPOLE,INDEPENDENT,10-12 NOCKOLDS ST,6398,08 98401031,0,1,0,1,1,1,0,0,0,,0,,0,0,0,No,FALSE,0,0,116.730816,-34.976376
2060,NSW,BOMADERRY,CALTEX,1 BELINDA ST CNR BOLONG RD,2541,02 42762812,1,1,0,1,1,0,0,1,1,,0,,0,0,1,No,TRUE,0,1,150.605252,-34.858012
2061,QLD,CONDON,CALTEX,881-885 RIVERWAY DR,4815,07 47735611,0,1,0,1,0,0,0,1,1,Yes,1,,0,1,0,No,FALSE,0,1,146.727296,-19.331666
2062,QLD,RAILWAY ESTATE,CALTEX,11 RAILWAY AVE CNR SEVENTH AVE,4810,07 47712495,0,1,0,1,0,0,0,1,1,,1,,0,1,0,No,FALSE,0,1,146.815562,-19.272305
2063,SA,MOUNT GAMBIER,CALTEX,141-141A COMMERCIAL STREET WEST,5290,08 87258233,0,1,0,1,1,1,0,0,1,Yes,1,,0,1,1,No,FALSE,0,0,140.774564,-37.826541
2064,SA,LARGS BAY,CALTEX,354 MILITARY ROAD,5016,08 83415494,0,1,0,1,0,1,0,0,1,,0,Yes,0,0,0,No,FALSE,0,0,138.493145,-34.819875
2065,SA,NARACOORTE,CALTEX,249 SMITH ST,5271,08 87620772,0,1,0,1,1,1,0,0,1,,0,,0,0,0,No,FALSE,0,0,140.747424,-36.954476
2066,QLD,DALBY,AMPOL,99-101 DRAYTON ST,4405,07 46621900,0,1,1,0,1,1,0,0,1,,0,,0,0,0,Yes,FALSE,0,0,151.267898,-27.187986
2067,QLD,MACKAY HARBOUR,INDEPENDENT,MULHERIN DVE,4740,07 49556855,0,1,1,1,0,0,0,1,0,,0,,0,0,1,No,FALSE,0,0,149.224093,-21.111515
2068,WA,BALDIVIS,CALTEX,SAFETY BAY RD CNR BALDIVIS RD,6171,08 95231540,0,1,0,1,1,0,0,1,1,,1,Yes,0,1,1,No,TRUE,0,1,115.820871,-32.330731
2069,WA,COLLIE,CALTEX,124 THROSSELL STREET,6225,08 97347938,0,1,0,1,1,1,0,0,1,Yes,0,,1,1,1,No,FALSE,0,0,116.152848,-33.359774
2070,TAS,LAUNCESTON,CALTEX,2-6 GODERICH STREET,7250,03 63314635,0,1,0,0,0,1,0,0,1,,0,,0,0,0,No,FALSE,0,1,147.132022,-41.422554
2071,TAS,GLENDHU,CALTEX,329-333 WELLINGTON ST,7249,03 63430212,0,1,0,1,0,1,0,0,1,Yes,0,,0,0,0,No,FALSE,0,1,147.144591,-41.453903
2072,TAS,SPREYTON,CALTEX,2 MERSEY MAIN ROAD,7310,03 64272214,0,1,0,0,0,1,0,0,0,,0,,0,0,0,No,FALSE,0,1,146.34394,-41.210915
2073,VIC,TONGALA,CALTEX,33 HENDERSON ROAD,3621,03 58590064,0,1,0,1,1,1,0,0,1,Yes,0,,0,0,1,No,FALSE,0,0,144.948112,-36.249671
